Tempo;Ocupação;E[N];E[W];Erro Little
9700;0.771521;3.606293;416.440967;-0.00000000000001110223
9800;0.772982;3.641911;415.008417;-0.00000000000000888178
9900;0.789952;3.675585;423.119644;-0.00000000000000843769
10000;0.782052;3.698829;430.096388;-0.00000000000000843769
10100;0.787594;3.716701;436.496301;-0.00000000000001021405
10200;0.783163;3.727770;442.130811;-0.00000000000001110223
10300;0.792727;3.722464;445.830029;-0.00000000000001509903
10400;0.790519;3.716647;444.288831;-0.00000000000001909584
10500;0.797449;3.705180;447.176953;-0.00000000000001731948
10600;0.789926;3.705422;431.620537;-0.00000000000001776357
10700;0.800099;3.713619;431.910020;-0.00000000000001332268
10800;0.807189;3.721887;432.219190;-0.00000000000001376677
10900;0.799783;3.724439;436.520266;-0.00000000000001376677
11000;0.806111;3.733046;432.247420;-0.00000000000001776357
11100;0.809566;3.751330;429.275960;-0.00000000000002442491
11200;0.802337;3.771913;431.075785;-0.00000000000002797762
11300;0.806780;3.801244;421.118174;-0.00000000000002575717
11400;0.809255;3.844198;425.474292;-0.00000000000002486900
11500;0.837567;3.884387;433.693666;-0.00000000000002975398
11600;0.830346;3.914032;436.565108;-0.00000000000003463896
11700;0.823249;3.951003;436.101325;-0.00000000000003552714
11800;0.816273;4.006943;441.887136;-0.00000000000004174439
11900;0.815402;4.074306;444.809558;-0.00000000000004352074
12000;0.821388;4.134783;455.205484;-0.00000000000004263256
12100;0.817123;4.199761;457.811782;-0.00000000000003907985
12200;0.833734;4.258152;463.834404;-0.00000000000003996803
12300;0.826956;4.325502;462.640658;-0.00000000000002309264
12400;0.820287;4.419461;472.425182;-0.00000000000002575717
12500;0.834511;4.502715;485.206379;-0.00000000000003552714
12600;0.827888;4.586864;489.783732;-0.00000000000004174439
12700;0.824908;4.673956;498.817122;-0.00000000000003819167
12800;0.849125;4.749308;510.849963;-0.00000000000004174439
12900;0.842543;4.813267;521.774333;-0.00000000000004085621
13000;0.836062;4.880274;528.696347;-0.00000000000004796163
13100;0.830772;4.949789;540.351946;-0.00000000000004884981
13200;0.836518;5.020837;538.821557;-0.00000000000004796163
13300;0.834290;5.103900;543.055011;-0.00000000000004529710
13400;0.835492;5.183900;542.689525;-0.00000000000004618528
13500;0.847466;5.259614;550.424709;-0.00000000000005062617
13600;0.841234;5.334027;558.021274;-0.00000000000005506706
13700;0.862880;5.413298;566.123487;-0.00000000000004973799
13800;0.856627;5.493908;574.363147;-0.00000000000004884981
13900;0.850464;5.588355;579.687586;-0.00000000000004884981
14000;0.844389;5.684153;593.866691;-0.00000000000004796163
14100;0.852293;5.781733;603.869842;-0.00000000000004529710
14200;0.846291;5.874819;617.943916;-0.00000000000004529710
14300;0.855996;5.960773;631.400377;-0.00000000000004618528
14400;0.850052;6.046059;635.498202;-0.00000000000004618528
14500;0.862076;6.136525;644.779766;-0.00000000000004263256
14600;0.856171;6.224631;658.547882;-0.00000000000004352074
14700;0.850347;6.315783;667.928178;-0.00000000000004174439
14800;0.851384;6.403512;681.812809;-0.00000000000004440892
14900;0.852330;6.490548;685.880584;-0.00000000000004973799
15000;0.854211;6.559023;697.768445;-0.00000000000004707346
15100;0.860881;6.619942;703.951544;-0.00000000000004796163
15200;0.855217;6.682580;710.316187;-0.00000000000004174439
15300;0.871964;6.744798;721.646256;-0.00000000000003552714
15400;0.866302;6.799024;727.117836;-0.00000000000002753353
15500;0.860713;6.866066;728.931614;-0.00000000000001865175
15600;0.876311;6.935573;741.061223;-0.00000000000002131628
15700;0.870729;7.005999;748.259787;-0.00000000000002309264
15800;0.865219;7.081341;755.980950;-0.00000000000002220446
15900;0.859777;7.158919;763.938301;-0.00000000000002042810
16000;0.865384;7.238236;772.078511;-0.00000000000001776357
16100;0.869981;7.324223;775.789376;-0.00000000000002042810
16200;0.864611;7.409584;784.544141;-0.00000000000001687539
16300;0.863848;7.500239;793.856507;-0.00000000000001332268
16400;0.867223;7.577103;806.912298;-0.00000000000001065814
16500;0.872311;7.659532;810.142786;-0.00000000000000888178
16600;0.867056;7.741094;818.485085;-0.00000000000000355271
16700;0.868665;7.823230;826.885694;0.00000000000000976996
16800;0.870440;7.894663;839.432489;0.00000000000001154632
16900;0.869703;7.959495;846.009175;0.00000000000001598721
17000;0.869024;8.020195;857.505122;0.00000000000002309264
17100;0.871445;8.071875;862.681646;0.00000000000001953993
17200;0.870936;8.116231;872.494800;0.00000000000002131628
17300;0.878292;8.151742;875.932537;0.00000000000002842171
17400;0.873244;8.191100;885.249307;0.00000000000002842171
17500;0.883557;8.231101;883.707164;0.00000000000003375078
17600;0.878537;8.273121;887.847142;0.00000000000002842171
17700;0.880532;8.318229;892.319150;0.00000000000003552714
17800;0.875585;8.366967;897.180802;0.00000000000003019807
17900;0.885834;8.401612;905.956972;0.00000000000003375078
18000;0.880913;8.427159;913.788298;0.00000000000003197442
18100;0.879638;8.451666;921.537100;0.00000000000003019807
18200;0.885981;8.468487;928.472718;0.00000000000002842171
18300;0.881140;8.482321;935.099224;0.00000000000002842171
18400;0.883296;8.493543;941.452995;0.00000000000002131628
18500;0.884852;8.500741;947.371765;0.00000000000001776357
18600;0.887809;8.503594;947.106929;0.00000000000002486900
18700;0.883061;8.506249;952.496150;0.00000000000002664535
18800;0.883971;8.507309;952.008360;0.00000000000001776357
18900;0.893229;8.501901;956.463863;0.00000000000002131628
19000;0.888528;8.494131;954.961507;0.00000000000001953993
19100;0.883876;8.491544;959.695235;0.00000000000001776357
19200;0.895231;8.485790;952.790504;0.00000000000001243450
19300;0.890592;8.483273;957.468867;0.00000000000001065814
19400;0.886002;8.480782;962.147229;0.00000000000000888178
19500;0.896693;8.473287;960.634289;0.00000000000000000000
19600;0.892118;8.465770;964.704056;0.00000000000000000000
19700;0.887589;8.462768;963.679318;-0.00000000000000888178
19800;0.896446;8.452491;956.338938;0.00000000000000710543
19900;0.891941;8.440358;954.335963;0.00000000000000177636
20000;0.897572;8.432131;958.196714;0.00000000000000532907
20100;0.893106;8.420031;961.605805;0.00000000000000532907
20200;0.914569;8.410542;959.847215;0.00000000000001421085
20300;0.910063;8.395495;957.463727;0.00000000000001243450
20400;0.905602;8.385069;955.616756;0.00000000000000710543
20500;0.901185;8.380032;954.392535;0.00000000000000888178
20600;0.896810;8.378187;958.836980;0.00000000000001065814
20700;0.892478;8.377565;958.097179;0.00000000000001065814
20800;0.896314;8.374548;957.091248;0.00000000000000532907
20900;0.896643;8.369398;955.849325;0.00000000000001065814
21000;0.893887;8.364613;954.656864;0.00000000000000710543
21100;0.899862;8.356505;953.093309;0.00000000000001243450
21200;0.895618;8.348844;951.588686;0.00000000000001598721
21300;0.896296;8.342750;950.270431;0.00000000000002309264
21400;0.897916;8.337207;944.001175;0.00000000000001421085
21500;0.899525;8.328442;947.415311;0.00000000000002131628
21600;0.898309;8.315285;950.318327;0.00000000000003907985
21700;0.914370;8.297648;942.717035;0.00000000000003019807
21800;0.910176;8.296138;927.465680;0.00000000000001243450
21900;0.906020;8.299352;932.081064;0.00000000000001421085
22000;0.901901;8.306532;932.365876;0.00000000000001065814
22100;0.906883;8.320816;919.450222;0.00000000000001421085
22200;0.902798;8.345652;921.758564;0.00000000000003197442
22300;0.930602;8.372509;924.291818;0.00000000000003730349
22400;0.926447;8.404474;922.844161;0.00000000000003019807
22500;0.922330;8.438877;926.218167;0.00000000000001776357
22600;0.918249;8.477283;930.031998;0.00000000000004263256
22700;0.914203;8.519233;938.769862;0.00000000000004440892
22800;0.910194;8.560815;947.507726;0.00000000000004263256
22900;0.906219;8.603112;951.745220;0.00000000000005861978
23000;0.906796;8.651684;952.099249;0.00000000000004618528
23100;0.903869;8.697792;956.757091;0.00000000000006039613
23200;0.904854;8.733976;964.896382;0.00000000000007815970
23300;0.905416;8.763461;972.326883;0.00000000000007460699
23400;0.912668;8.782254;973.956093;0.00000000000007815970
23500;0.908785;8.808894;967.331764;0.00000000000007105427
23600;0.915564;8.838784;974.744415;0.00000000000006927792
23700;0.911701;8.864781;981.753761;0.00000000000006927792
23800;0.907870;8.892661;984.396931;0.00000000000007105427
23900;0.908145;8.925973;983.091025;0.00000000000006394885
24000;0.908361;8.952720;990.162635;0.00000000000006572520
24100;0.910414;8.975509;992.246623;0.00000000000006039613
24200;0.909597;9.001152;994.647819;0.00000000000004973799
24300;0.916431;9.021611;1001.028065;0.00000000000005861978
24400;0.912675;9.037916;1006.964138;0.00000000000005506706
24500;0.928927;9.054052;1012.896257;0.00000000000005151435
24600;0.925151;9.068914;1009.480923;0.00000000000004440892
24700;0.921405;9.092039;1007.055419;0.00000000000003552714
24800;0.917690;9.119893;1014.230307;0.00000000000003552714
24900;0.914004;9.147524;1021.405195;0.00000000000003552714
25000;0.911113;9.175151;1024.012404;0.00000000000006039613
25100;0.913507;9.194113;1025.654401;0.00000000000007638334
25200;0.913856;9.204542;1026.347166;0.00000000000008704149
25300;0.918323;9.216948;1027.263416;0.00000000000008704149
25400;0.914707;9.230491;1023.818677;0.00000000000009769963
25500;0.915593;9.248161;1025.339557;0.00000000000009414691
25600;0.922475;9.263961;1026.655368;0.00000000000008704149
25700;0.918885;9.282195;1023.830066;0.00000000000009947598
25800;0.915324;9.309591;1017.743435;0.00000000000009592327
25900;0.914763;9.341030;1025.138458;0.00000000000009769963
26000;0.920027;9.364914;1031.727798;0.00000000000010658141
26100;0.916502;9.389490;1034.032480;0.00000000000011368684
26200;0.916352;9.412835;1040.575019;0.00000000000011013412
26300;0.919959;9.433666;1033.772599;0.00000000000010480505
26400;0.916475;9.458539;1040.439266;0.00000000000010658141
26500;0.916713;9.478465;1046.580542;0.00000000000011191048
26600;0.917729;9.492560;1052.092061;0.00000000000010302870
26700;0.922457;9.504463;1048.632950;0.00000000000007105427
26800;0.919015;9.520069;1049.949954;0.00000000000008348877
26900;0.917704;9.536334;1047.050507;0.00000000000009237056
27000;0.917536;9.550970;1048.277228;0.00000000000007460699
27100;0.917947;9.560632;1053.224065;0.00000000000005861978
27200;0.929280;9.561713;1057.230081;0.00000000000006039613
27300;0.925877;9.564169;1052.829905;0.00000000000004973799
27400;0.922497;9.572926;1049.192742;0.00000000000005329071
27500;0.919143;9.588107;1046.321251;0.00000000000006039613
27600;0.920634;9.600992;1043.257385;0.00000000000004085621
27700;0.929788;9.618738;1036.727773;0.00000000000003730349
27800;0.926444;9.638639;1034.572025;0.00000000000002842171
27900;0.923123;9.667161;1037.360765;0.00000000000002486900
28000;0.922827;9.699113;1040.517853;0.00000000000003197442
28100;0.923762;9.727551;1047.295748;0.00000000000003730349
28200;0.921688;9.761430;1034.858391;0.00000000000004618528
28300;0.925419;9.796506;1042.259882;0.00000000000005151435
28400;0.922160;9.829350;1045.518870;0.00000000000004618528
28500;0.922622;9.861983;1052.683575;0.00000000000006217249
28600;0.923995;9.887953;1055.206970;0.00000000000006217249
28700;0.925614;9.911205;1061.386545;0.00000000000006572520
28800;0.933866;9.932173;1067.338040;0.00000000000006750156
28900;0.930635;9.950722;1069.055243;0.00000000000007460699
29000;0.927426;9.971581;1075.003198;0.00000000000007638334
29100;0.924239;9.992298;1080.951153;0.00000000000007283063
29200;0.924019;10.005660;1086.116264;0.00000000000007815970
29300;0.924542;10.011544;1086.437923;0.00000000000008526513
29400;0.926766;10.010358;1085.994543;0.00000000000007993606
29500;0.927146;10.010280;1085.673792;0.00000000000007815970
29600;0.925537;10.010347;1085.370993;0.00000000000007993606
29700;0.927545;10.010018;1085.027532;0.00000000000008348877
29800;0.927751;10.006710;1084.363460;0.00000000000005861978
29900;0.927159;10.002569;1087.552023;0.00000000000006394885
30000;0.926785;9.993315;1090.179797;0.00000000000004973799
30100;0.929667;9.978435;1088.227927;0.00000000000004973799
30200;0.926589;9.962361;1086.149088;0.00000000000004973799
30300;0.927087;9.946407;1088.000525;0.00000000000004263256
30400;0.927491;9.931132;1082.101794;0.00000000000004085621
30500;0.934416;9.913589;1079.873077;0.00000000000003907985
30600;0.931363;9.894785;1077.510384;0.00000000000005684342
30700;0.928329;9.878841;1079.289744;0.00000000000005684342
30800;0.928148;9.860670;1069.396635;0.00000000000004618528
30900;0.929232;9.847437;1067.669519;0.00000000000002842171
31000;0.947464;9.833191;1069.575213;0.00000000000001953993
31100;0.944418;9.820573;1067.901454;0.00000000000001776357
31200;0.941391;9.808327;1069.999356;0.00000000000001776357
31300;0.938383;9.796390;1068.386770;0.00000000000001065814
31400;0.935395;9.790210;1067.404853;0.00000000000000177636
31500;0.932425;9.784887;1066.518823;0.00000000000001953993
31600;0.929474;9.784851;1066.211299;0.00000000000001776357
31700;0.930898;9.782414;1069.319097;0.00000000000003375078
31800;0.936144;9.780069;1065.089735;0.00000000000005506706
31900;0.933210;9.780759;1068.514393;0.00000000000005329071
32000;0.931902;9.781421;1071.936513;0.00000000000005684342
32100;0.933774;9.777834;1071.223445;0.00000000000005151435
32200;0.930874;9.775470;1070.646667;0.00000000000007105427
32300;0.950853;9.776109;1066.784909;0.00000000000004618528
32400;0.947919;9.778594;1066.755661;0.00000000000003730349
32500;0.945002;9.782352;1070.459365;0.00000000000003730349
32600;0.942103;9.786087;1074.163069;0.00000000000003552714
32700;0.939222;9.789799;1077.866772;0.00000000000003552714
32800;0.936359;9.793489;1081.570476;0.00000000000003730349
32900;0.933513;9.798022;1081.727887;0.00000000000003019807
33000;0.932849;9.802950;1085.561554;0.00000000000002664535
33100;0.933407;9.803964;1088.963839;0.00000000000000177636
33200;0.935784;9.803838;1088.586723;0.00000000000000532907
