Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
9100;0,824357;2,155305;202,198688;2,708944E-14;0,010659
9200;0,815396;2,197095;208,384255;2,664535E-14;0,010543
9300;0,806629;2,248634;213,390731;2,353673E-14;0,010538
9400;0,798048;2,309228;217,067438;2,176037E-14;0,010638
9500;0,800066;2,387271;222,343866;2,353673E-14;0,010737
9600;0,801288;2,443008;229,930205;1,820766E-14;0,010625
9700;0,803954;2,463995;232,046122;1,465494E-14;0,010619
9800;0,83238;2,47835;233,53683;1,376677E-14;0,010612
9900;0,823972;2,503044;231,590042;2,220446E-14;0,010808
10000;0,815732;2,541705;233,183957;3,019807E-14;0,0109
10100;0,817869;2,598294;238,570656;3,28626E-14;0,010891
10200;0,81659;2,648861;245,62165;3,28626E-14;0,010784
10300;0,83555;2,678811;248,574396;2,04281E-14;0,010777
10400;0,827516;2,684603;249,284564;2,88658E-14;0,010769
10500;0,819635;2,697131;252,855993;2,842171E-14;0,010667
10600;0,832756;2,707584;251,757838;3,108624E-14;0,010755
10700;0,824973;2,719663;255,26661;3,153033E-14;0,010654
10800;0,824433;2,734276;252,39471;2,353673E-14;0,010833
10900;0,834517;2,760403;252,843651;9,76996E-15;0,010917
11000;0,82693;2,788568;255,618777;1,509903E-14;0,010909
11100;0,837124;2,817185;258,436007;1,332268E-14;0,010901
11200;0,82965;2,850959;261,727343;1,909584E-14;0,010893
11300;0,839231;2,876704;264,282601;2,220446E-14;0,010885
11400;0,836621;2,895671;266,214933;1,64313E-14;0,010877
11500;0,834817;2,92109;266,607418;1,376677E-14;0,010957
11600;0,869803;2,938175;270,498689;1,332268E-14;0,010862
11700;0,862369;2,947251;273,673292;1,287859E-14;0,010769
11800;0,855061;2,960833;275,101061;1,199041E-14;0,010763
11900;0,847875;2,986609;275,508887;1,199041E-14;0,01084
12000;0,84081;3,020054;280,935244;1,287859E-14;0,01075
12100;0,846417;3,050989;283,976701;2,220446E-14;0,010744
12200;0,846805;3,083958;287,208288;2,664535E-14;0,010738
12300;0,858992;3,114774;290,240341;2,131628E-14;0,010732
12400;0,852065;3,146107;295,543371;2,131628E-14;0,010645
12500;0,849113;3,180551;298,923932;2,309264E-14;0,01064
12600;0,851624;3,199834;303,142124;2,176037E-14;0,010556
