Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;3,251023;0,854467;85,446685;0;0,01
200;1,625511;1,050429;105,04294;0;0,01
300;1,083674;1,824321;136,824107;0;0,013333
400;1,069185;2,218268;177,461426;-4,4409E-16;0,0125
500;1,663486;2,672621;190,901509;0;0,014
600;1,386239;3,159538;236,965386;4,4409E-16;0,013333
700;1,188204;3,565319;311,965386;4,4409E-16;0,011429
800;1,039679;3,869654;386,965386;4,4409E-16;0,01
900;1,08986;4,1261;412,609999;0;0,01
1000;1,03424;4,308917;478,768592;8,8818E-16;0,009
1100;1,012309;4,441136;407,104113;0;0,010909
1200;1,097122;4,609206;425,465163;0;0,010833
1300;1,012728;4,782222;444,063443;8,8818E-16;0,010769
1400;1,050641;4,989084;388,039863;0;0,012857
1500;1,087564;5,246779;437,231572;-8,8818E-16;0,012
1600;1,019592;5,418855;481,676016;0;0,01125
1700;1,014932;5,538864;523,114905;0;0,010588
1800;1,044761;5,575893;528,2425;0;0,010556
1900;1,088584;5,636861;510,001693;1,77636E-15;0,011053
2000;1,034155;5,799513;483,292725;1,77636E-15;0,012
2100;1,015043;6,055477;489,096199;0;0,012381
2200;1,067821;6,313044;478,92057;1,77636E-15;0,013182
2300;1,021394;6,637874;508,903689;2,66454E-15;0,013043
2400;1,091722;6,929529;554,362327;1,77636E-15;0,0125
2500;1,048053;7,172348;597,69566;1,77636E-15;0,012
2600;1,007743;7,421582;622,45527;-8,8818E-16;0,011923
2700;1,002304;7,634468;664,937514;8,8818E-16;0,011481
2800;1,002588;7,80774;662,474941;-8,8818E-16;0,011786
2900;1,005925;7,972224;679,983813;0;0,011724
3000;1,113136;8,017062;707,387782;0;0,011333
3100;1,077228;8,048769;733,85837;0;0,010968
3200;1,043565;8,101993;740,753615;0;0,010937
3300;1,011942;8,17959;729,531043;1,77636E-15;0,011212
3400;1,080749;8,267564;759,722067;-1,77636E-15;0,010882
3500;1,04987;8,335536;767,746719;-1,77636E-15;0,010857
3600;1,020707;8,446233;741,620444;-5,32907E-15;0,011389
3700;1,041377;8,594268;757,114083;-7,10543E-15;0,011351
3800;1,013972;8,764028;756,8933;-5,32907E-15;0,011579
3900;1,013119;8,978831;761,248685;-3,55271E-15;0,011795
4000;1,016493;9,157435;763,119573;-3,55271E-15;0,012
4100;1,06634;9,369306;768,28313;-1,77636E-15;0,012195
4200;1,040951;9,550365;786,500679;0;0,012143
4300;1,016743;9,723613;819,834013;0;0,01186
4400;1,00779;9,885928;852,903569;0;0,011591
4500;1,02526;9,995224;881,931516;-1,77636E-15;0,011333
4600;1,002972;10,060545;907,421712;1,77636E-15;0,011087
4700;1,012359;10,095148;930,337155;0;0,010851
4800;0,9971;10,108299;951,369321;-1,77636E-15;0,010625
4900;1,017511;10,095219;951,280229;0;0,010612
5000;0,997161;10,093314;970,510999;1,77636E-15;0,0104
5100;1,060754;10,082906;934,960392;-1,77636E-15;0,010784
5200;1,040355;10,101599;921,549391;-5,32907E-15;0,010962
5300;1,020726;10,146146;911,43343;-5,32907E-15;0,011132
5400;1,001823;10,217513;935,162243;-5,32907E-15;0,010926
5500;0,999563;10,263275;956,74595;-5,32907E-15;0,010727
5600;1,008074;10,287531;960,169553;-7,10543E-15;0,010714
5700;1,021574;10,292972;977,832383;-5,32907E-15;0,010526
5800;1,003961;10,295593;978,925264;-8,88178E-15;0,010517
5900;1,022789;10,287343;995,005273;-8,88178E-15;0,010339
6000;1,005743;10,265887;1009,759371;-8,88178E-15;0,010167
6100;1,024433;10,223063;1022,306338;-7,10543E-15;0,01
6200;1,007909;10,167316;1016,731631;-3,55271E-15;0,01
6300;0,998765;10,139457;998,102833;-5,32907E-15;0,010159
6400;1,004892;10,081355;1008,13551;-7,10543E-15;0,01
6500;1,003381;10,011331;1001,133128;-1,065814E-14;0,01
6600;1,013006;9,959175;981,053049;-7,10543E-15;0,010152
6700;0,997886;9,920649;977,475679;-5,32907E-15;0,010149
6800;1,005663;9,871;972,7942;-1,77636E-15;0,010147
6900;1,024506;9,826636;968,625563;-7,10543E-15;0,010145
7000;1,009871;9,773514;963,585885;-1,065814E-14;0,010143
7100;1,004268;9,733354;959,816869;-3,55271E-15;0,010141
7200;1,030516;9,706984;931,870423;0;0,010417
7300;1,016399;9,697299;943,870423;0;0,010274
7400;1,002664;9,687876;955,870423;0;0,010135
7500;1,009429;9,675791;942,447137;-1,77636E-15;0,010267
7600;1,049156;9,68528;931,748451;-7,10543E-15;0,010395
7700;1,03553;9,705612;922,63225;-3,55271E-15;0,010519
7800;1,022254;9,746528;915,938741;-8,88178E-15;0,010641
7900;1,009314;9,815372;912,252185;-7,10543E-15;0,010759
8000;1,00551;9,891197;930,936156;-7,10543E-15;0,010625
8100;1,010642;9,949161;948,096556;-8,88178E-15;0,010494
8200;0,998317;10,00694;954,150108;-1,24345E-14;0,010488
8300;1,019482;10,043375;958,161058;-1,24345E-14;0,010482
8400;1,007345;10,078573;973,103587;-1,065814E-14;0,010357
8500;1,00717;10,115512;977,066466;-1,421085E-14;0,010353
8600;1,019154;10,144386;991,383201;-1,421085E-14;0,010233
8700;1,00744;10,154221;1003,883201;-1,421085E-14;0,010115
8800;0,999583;10,161477;1016,147716;-1,598721E-14;0,01
8900;0,999688;10,148442;1026,376529;-1,776357E-14;0,009888
9000;1,015668;10,137255;991,687998;-8,88178E-15;0,010222
9100;1,004507;10,16913;974,095601;-7,10543E-15;0,01044
9200;1,007387;10,20777;978,244581;-3,55271E-15;0,010435
9300;1,000089;10,238769;981,655127;-1,77636E-15;0,01043
