Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0,977907;34,679323;0,345756;2,44426701E-12;100,3
200;0,983215;47,556846;0,473132;8,02913291E-12;100,515
300;0,988749;73,967396;0,736752;5,084643817E-11;100,396667
400;0,989355;78,163493;0,781811;-3,545608251E-11;99,9775
500;0,988397;70,211505;0,702762;6,691891485E-11;99,908
600;0,984635;62,01009;0,622935;2,630997642E-10;99,545
700;0,984705;58,16874;0,583179;4,7127457492E-10;99,744286
800;0,983808;54,614777;0,546811;4,7263881697E-10;99,87875
900;0,98478;54,420961;0,543841;1,6408563397E-10;100,067778
1000;0,984999;52,54729;0,525336;1,9911539084E-10;100,026
1100;0,984306;51,182879;0,511652;-1,4870238374E-10;100,034545
1200;0,983679;49,81836;0,498449;-3,2962077512E-10;99,946667
1300;0,984918;67,652268;0,675785;-2,7881696951E-10;100,109231
1400;0,986007;78,734981;0,786754;-4,0394354528E-10;100,075714
1500;0,986925;79,303485;0,792222;-3,8693315219E-10;100,102667
1600;0,986746;76,951165;0,769536;-4,7327830544E-10;99,996875
1700;0,986168;74,57403;0,745925;-4,7756998356E-10;99,975294
1800;0,985902;73,014726;0,73048;-9,1250740297E-10;99,954444
1900;0,985968;71,676676;0,717367;-4,1704595333E-10;99,916316
2000;0,985682;69,576946;0,696626;4,4016701395E-10;99,877
2100;0,986356;70,878508;0,708724;-3,9193537305E-10;100,008571
2200;0,986865;70,970547;0,709447;-4,6740922244E-10;100,036364
2300;0,98742;71,728786;0,71654;1,3959322587E-10;100,104348
2400;0,987945;74,457911;0,744195;3,0667024475E-10;100,051667
2500;0,988432;74,692499;0,746295;-3,784350611E-11;100,0844
2600;0,988482;73,630808;0,735745;4,2284398205E-10;100,076538
2700;0,988913;74,881827;0,748159;1,47548462337E-09;100,088148
2800;0,988729;74,98679;0,74906;1,94275173726E-09;100,107857
2900;0,988993;75,135862;0,750706;2,20248352889E-09;100,086897
3000;0,988946;74,171228;0,741307;1,4867396203E-09;100,054667
3100;0,989298;76,603678;0,76577;2,1793198357E-09;100,034839
3200;0,98964;80,410384;0,803539;2,39492692344E-09;100,070312
3300;0,989944;84,828464;0,847817;2,68202882125E-09;100,055152
3400;0,989633;83,6041;0,835891;1,19699450352E-09;100,017941
3500;0,989828;83,398619;0,834043;2,13579198771E-09;99,993143
3600;0,990056;84,334708;0,843328;1,52810741838E-09;100,002222
3700;0,990329;85,622617;0,856282;1,42767930811E-09;99,993514
3800;0,990549;85,597207;0,855943;4,0857628392E-10;100,003421
3900;0,990329;84,425648;0,844393;4,3667114369E-10;99,983846
4000;0,989764;82,806869;0,82858;8,6512841335E-10;99,93825
4100;0,989993;82,842407;0,828687;1,74469505509E-09;99,968293
4200;0,989984;82,767026;0,827785;2,16886064663E-09;99,98619
4300;0,989778;82,130964;0,821499;2,11261408367E-09;99,976977
4400;0,989601;81,310055;0,813467;1,46246748045E-09;99,955
4500;0,989637;81,186092;0,812184;-3,1090507946E-10;99,960222
4600;0,989508;80,244217;0,802892;7,2516570526E-10;99,943913
4700;0,989334;79,21016;0,792437;1,35986510941E-09;99,95766
4800;0,989306;79,821473;0,798644;2,11211670376E-09;99,94625
4900;0,989107;79,061729;0,791021;9,3660901257E-10;99,94898
5000;0,989039;78,041628;0,781013;1,95073823761E-09;99,9236
5100;0,989144;77,760194;0,778214;1,99466398954E-09;99,921373
5200;0,988865;76,904355;0,769719;3,80346421025E-09;99,912308
5300;0,989076;79,320329;0,793684;2,90923196644E-09;99,939434
5400;0,989278;80,286526;0,803349;4,61892568637E-09;99,939815
5500;0,989411;79,904051;0,799439;3,3772948882E-09;99,950182
5600;0,98936;79,358853;0,794139;-1,44950718E-12;99,930714
5700;0,989514;79,608373;0,796528;-2,36826736E-09;99,944211
5800;0,989508;79,890741;0,79934;-2,92851609629E-09;99,945862
5900;0,989412;79,390372;0,794212;-3,21612958487E-09;99,961186
6000;0,989507;79,513347;0,795285;-5,30555155365E-09;99,981
6100;0,989668;79,524413;0,795394;-4,69638905543E-09;99,981148
6200;0,989629;79,144012;0,791596;-5,42570433026E-09;99,980323
6300;0,989603;78,725905;0,78742;-6,39369091004E-09;99,979524
6400;0,989659;78,789026;0,788132;-6,45047748549E-09;99,969375
6500;0,989732;78,709176;0,787201;-6,52158860248E-09;99,986154
6600;0,989885;79,749279;0,797386;-7,20106640983E-09;100,013333
6700;0,989829;79,390468;0,793902;-2,1080239776E-09;100,000299
6800;0,989979;79,74437;0,79739;8,4966700342E-10;100,006765
6900;0,989702;79,242776;0,792555;5,0110315897E-10;99,983913
7000;0,98967;78,829506;0,788365;4,14361522871E-09;99,991143
7100;0,989676;78,431217;0,784359;4,57734472548E-09;99,994085
7200;0,989809;80,084086;0,800566;4,91273510761E-09;100,034306
7300;0,98995;81,176478;0,811648;4,78483741517E-09;100,014384
7400;0,989844;80,56493;0,805572;7,13323800028E-09;100,009595
7500;0,989815;80,140509;0,801395;9,19676779176E-09;100,0012
7600;0,989679;79,8765;0,798806;7,49899697894E-09;99,994868
7700;0,989795;80,305677;0,803056;5,42370059975E-09;100,00013
7800;0,989926;81,164056;0,811703;2,88795831693E-09;99,992308
7900;0,989976;81,176351;0,81179;5,21237097928E-09;99,996709
8000;0,990062;81,60388;0,81595;6,39519726064E-09;100,010875
8100;0,990058;81,492459;0,814928;7,28211091428E-09;99,99963
8200;0,990015;80,935902;0,809297;6,89576040713E-09;100,007683
8300;0,989956;80,478722;0,804746;1,045688691192E-08;100,00506
8400;0,990061;81,095807;0,810767;9,22574372453E-09;100,023571
8500;0,990179;82,414301;0,82399;1,169681240754E-08;100,018588
8600;0,990292;83,325487;0,8329;1,22622481058E-08;100,042558
8700;0,990404;84,419748;0,843893;1,192661613914E-08;100,036092
8800;0,990346;84,30509;0,842907;1,068936228421E-08;100,017045
8900;0,99027;83,902933;0,838829;7,46157979847E-09;100,023933
9000;0,990163;83,479473;0,834599;1,001806992917E-08;100,023444
9100;0,99009;83,209567;0,831891;9,10978315005E-09;100,024615
9200;0,98997;82,593672;0,825702;7,56801910029E-09;100,02837
9300;0,989927;82,19148;0,821742;6,5612795197E-09;100,021075
9400;0,989969;81,832583;0,818186;1,84972748229E-09;100,017128
9500;0,990063;81,866496;0,818492;-2,82808798602E-09;100,021158
9600;0,990129;81,995959;0,819685;-1,53012535975E-09;100,033542
9700;0,99017;82,063879;0,820299;-5,86028647831E-09;100,041443
9800;0,990273;82,89439;0,828549;-8,8375884388E-10;100,047653
9900;0,990368;84,332958;0,84283;-2,44732234478E-09;100,059293
10000;0,990465;85,371129;0,853303;-1,22795995594E-09;100,0479
10100;0,990348;84,951077;0,849199;-1,88975946E-10;100,036733
10200;0,990291;84,433885;0,843971;-2,97679036976E-09;100,043627
10300;0,990344;84,231255;0,841916;3,20672199905E-09;100,047087
10400;0,990289;83,904925;0,838672;8,44812575451E-09;100,045
10500;0,990183;83,630559;0,835915;7,17059833732E-09;100,046762
10600;0,990052;83,762664;0,837447;9,20549325656E-09;100,021415
10700;0,990036;83,355706;0,833424;8,96697827102E-09;100,015981
10800;0,98999;83,081546;0,830618;7,47584749661E-09;100,023796
10900;0,990058;82,960348;0,829463;4,74420858154E-09;100,016972
11000;0,989916;82,520787;0,825111;6,41185238237E-09;100,011727
11100;0,989935;82,24083;0,822162;2,63389665633E-09;100,02991
11200;0,990006;82,139577;0,821195;-2,12457962334E-09;100,024464
11300;0,989765;81,567688;0,815511;-4,6374282192E-10;100,020354
11400;0,989667;81,068326;0,810495;-2,32864749705E-09;100,023246
11500;0,989528;80,630059;0,806145;-9,5782581866E-10;100,019304
11600;0,989525;80,511824;0,804917;9,6657970516E-10;100,025
11700;0,989593;80,496125;0,804787;3,62196317383E-09;100,021624
11800;0,98955;80,128199;0,801169;2,37525910052E-09;100,014153
11900;0,989431;79,615178;0,796035;5,72475755689E-09;100,014706
12000;0,989341;79,128642;0,791254;6,85675161094E-09;100,004083
12100;0,989429;79,462203;0,794577;9,44913836065E-09;100,00562
12200;0,989516;79,256576;0,792466;8,62394244905E-09;100,012541
12300;0,989592;79,101516;0,790896;9,76906733285E-09;100,015041
12400;0,98951;78,756165;0,787452;7,47526485156E-09;100,013952
12500;0,989437;78,301936;0,782874;4,00018507207E-09;100,01856
12600;0,989523;78,87312;0,788434;1,36003563966E-09;100,037698
12700;0,989603;81,247162;0,812051;-1,3312728697E-10;100,051811
12800;0,989685;83,604863;0,835727;3,11206349579E-09;100,038516
12900;0,989765;84,949443;0,849213;1,496061941E-09;100,033178
13000;0,989845;85,940258;0,859117;-4,65081484435E-09;100,033231
13100;0,989922;86,475246;0,864458;-9,5118224408E-09;100,034046
13200;0,989997;87,573753;0,875365;-1,56573349841E-08;100,042576
13300;0,990073;88,19652;0,881628;-1,64112634593E-08;100,038271
13400;0,989963;87,757943;0,877359;-2,037620561168E-08;100,025149
13500;0,989928;87,405139;0,873833;-2,302626000983E-08;100,025037
13600;0,989924;87,238275;0,872131;-1,758377266015E-08;100,028824
13700;0,989996;87,620203;0,875813;-1,762677470651E-08;100,04438
13800;0,990069;87,759093;0,87714;-2,30943015822E-08;100,051449
13900;0,990142;88,18923;0,881409;-3,603231846228E-08;100,05482
14000;0,990063;88,01387;0,879793;-4,319286972532E-08;100,039286
14100;0,990107;88,058859;0,880153;-5,111668599511E-08;100,049504
14200;0,99009;87,916457;0,878845;-4,526229702151E-08;100,036408
