Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
8500;0,600227;1,47457;0,014743;-1,030716578754E-08;100,018706
8600;0,600332;1,47514;0,014746;-9,02279850834E-09;100,034651
8700;0,600411;1,475344;0,014749;-4,20966550507E-09;100,032069
8800;0,600338;1,474299;0,014739;-1,14966236531E-09;100,024432
8900;0,600381;1,474446;0,01474;-8,022427167E-11;100,028427
9000;0,600386;1,474812;0,014744;5,5777804597E-10;100,027778
9100;0,600288;1,474376;0,014739;-6,0354210518E-10;100,035055
9200;0,600161;1,473848;0,014735;-6,02703509323E-09;100,023587
9300;0,600193;1,474319;0,01474;-4,7619963528E-09;100,018495
9400;0,600236;1,474516;0,014743;-3,53963480748E-09;100,012553
9500;0,600317;1,474694;0,014744;-6,39076702669E-09;100,016632
9600;0,600278;1,474233;0,014739;-6,40023234411E-09;100,019271
9700;0,600125;1,47313;0,01473;-2,97879032551E-09;100,009588
9800;0,600193;1,473139;0,014728;-4,73858152716E-09;100,024694
9900;0,600221;1,473607;0,014731;-5,15480635954E-09;100,033232
10000;0,600195;1,473353;0,014729;-6,37776165213E-09;100,0277
10100;0,600191;1,473175;0,014728;-8,94049301259E-09;100,027426
10200;0,600132;1,472742;0,014724;-5,13573672478E-09;100,023627
10300;0,600138;1,472694;0,014723;-3,23251425627E-09;100,02534
10400;0,600086;1,472402;0,01472;-4,2930925481E-10;100,028269
10500;0,600234;1,473782;0,014731;-6,5923466686E-10;100,043143
10600;0,600191;1,473561;0,014731;-6,83287937342E-09;100,033208
10700;0,600242;1,473455;0,014729;-9,95208293553E-09;100,037944
10800;0,600164;1,473496;0,01473;-5,64138047388E-09;100,036481
10900;0,600318;1,474592;0,01474;-3,5611897875E-09;100,040183
11000;0,600363;1,474733;0,014743;-3,31034710754E-09;100,030273
11100;0,6003;1,474212;0,014737;-6,57885945721E-09;100,032883
11200;0,600267;1,474025;0,014737;-1,047525599596E-08;100,021161
11300;0,60012;1,473194;0,014729;-1,029154250709E-08;100,020177
11400;0,600123;1,472931;0,014726;-8,31284818759E-09;100,023947
11500;0,600041;1,472404;0,014721;-9,31241972424E-09;100,01913
11600;0,599958;1,471978;0,014718;-1,021435180881E-08;100,013879
11700;0,599878;1,471222;0,014711;-1,053511189397E-08;100,007778
11800;0,599831;1,470688;0,014706;-1,687051143229E-08;100,005339
11900;0,599822;1,470497;0,014704;-1,626156320711E-08;100,004706
12000;0,599884;1,47064;0,014706;-1,92761220319E-08;100,005167
12100;0,599899;1,470444;0,014704;-2,276185018246E-08;100,003554
12200;0,599865;1,470198;0,014702;-2,345726346498E-08;100,001639
12300;0,599893;1,470698;0,014707;-2,574805724187E-08;99,999675
12400;0,599873;1,470606;0,014706;-2,874313009826E-08;99,999839
12500;0,59983;1,470139;0,014702;-3,061825992745E-08;99,99536
12600;0,599908;1,470341;0,014702;-3,109470059215E-08;100,008651
12700;0,599992;1,471052;0,014707;-3,087341093888E-08;100,025748
12800;0,600004;1,47089;0,014706;-2,9829459125E-08;100,021406
12900;0,599967;1,470376;0,014702;-3,058342334938E-08;100,011163
13000;0,600006;1,470685;0,014705;-3,186814345746E-08;100,012308
13100;0,60003;1,471397;0,014713;-3,1427550784E-08;100,003664
13200;0,600019;1,47132;0,014713;-3,054411856773E-08;100
13300;0,600019;1,471516;0,014715;-3,990416974631E-08;100,001504
13400;0,600047;1,471946;0,014719;-2,870022530743E-08;100,004701
