Tempo;Erro Little 60;Erro Little 80;Erro Little 95;Erro Little 99
7200;-2,01127514643E-09;-1,483633527144E-08;-7,14292269777E-09;4,91273510761E-09
7300;-7,1596968354E-09;-1,39514839681E-08;-9,29686549966E-09;4,78483741517E-09
7400;-8,76290817686E-09;-1,605808996885E-08;-1,201587096489E-08;7,13323800028E-09
7500;-7,80330844385E-09;-1,52897050576E-08;-1,09454987296E-08;9,19676779176E-09
7600;-6,04814598404E-09;-1,991706932714E-08;-9,1388834278E-09;7,49899697894E-09
7700;-3,05337044537E-09;-1,96545886233E-08;-5,98842575528E-09;5,42370059975E-09
7800;-5,58495916181E-09;-2,0818320845E-08;-2,43385400722E-09;2,88795831693E-09
7900;-7,98353116949E-09;-2,207681548683E-08;-2,03339922678E-09;5,21237097928E-09
8000;-1,026897988865E-08;-2,077811300794E-08;-1,35285915803E-09;6,39519726064E-09
8100;-1,234830193653E-08;-1,915284508769E-08;-4,98258145853E-09;7,28211091428E-09
8200;-1,264721527505E-08;-2,012321065337E-08;-6,33009022977E-09;6,89576040713E-09
8300;-9,3959389158E-09;-1,74352927651E-08;-5,35878541541E-09;1,045688691192E-08
8400;-1,146500561156E-08;-1,935140891973E-08;-5,40805800142E-09;9,22574372453E-09
8500;-1,030716578754E-08;-2,000305476813E-08;-5,01666619357E-09;1,169681240754E-08
8600;-9,02279850834E-09;-2,315939040543E-08;-7,67011698599E-09;1,22622481058E-08
8700;-4,20966550507E-09;-2,489647021875E-08;-1,008551464565E-08;1,192661613914E-08
8800;-1,14966236531E-09;-2,462986481433E-08;-1,116590553352E-08;1,068936228421E-08
8900;-8,022427167E-11;-2,384697683766E-08;-9,8825267969E-09;7,46157979847E-09
9000;5,5777804597E-10;-2,3812246841E-08;-1,138998939609E-08;1,001806992917E-08
9100;-6,0354210518E-10;-2,357643369422E-08;-1,381807734901E-08;9,10978315005E-09
9200;-6,02703509323E-09;-2,430423018396E-08;-1,412959349523E-08;7,56801910029E-09
9300;-4,7619963528E-09;-2,809683286031E-08;-1,573663865884E-08;6,5612795197E-09
9400;-3,53963480748E-09;-2,792478692726E-08;-1,857718245901E-08;1,84972748229E-09
9500;-6,39076702669E-09;-2,68399178438E-08;-1,931462634275E-08;-2,82808798602E-09
9600;-6,40023234411E-09;-2,914795693698E-08;-2,20314042565E-08;-1,53012535975E-09
9700;-2,97879032551E-09;-3,0286800623E-08;-1,941171134945E-08;-5,86028647831E-09
9800;-4,73858152716E-09;-2,941134491508E-08;-2,206341065403E-08;-8,8375884388E-10
9900;-5,15480635954E-09;-3,348574972861E-08;-1,659654813579E-08;-2,44732234478E-09
10000;-6,37776165213E-09;-2,777483665284E-08;-2,334155269068E-08;-1,22795995594E-09
10100;-8,94049301259E-09;-2,526218123577E-08;-2,301455026554E-08;-1,88975946E-10
10200;-5,13573672478E-09;-2,315782232643E-08;-2,20349107849E-08;-2,97679036976E-09
10300;-3,23251425627E-09;-2,144938227033E-08;-2,406755683637E-08;3,20672199905E-09
10400;-4,2930925481E-10;-2,023671497042E-08;-2,417338151872E-08;8,44812575451E-09
10500;-6,5923466686E-10;-2,623099115695E-08;-2,031994839058E-08;7,17059833732E-09
10600;-6,83287937342E-09;-3,624071887032E-08;-1,761136303458E-08;9,20549325656E-09
10700;-9,95208293553E-09;-3,410360571721E-08;-2,09720418809E-08;8,96697827102E-09
10800;-5,64138047388E-09;-3,436224327302E-08;-2,356213357757E-08;7,47584749661E-09
10900;-3,5611897875E-09;-3,508166068755E-08;-2,66617412592E-08;4,74420858154E-09
11000;-3,31034710754E-09;-3,336284226663E-08;-2,415683653112E-08;6,41185238237E-09
