Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0,798558;4,197595;0,041784;-5,59019497E-12;100,46
200;0,796733;3,868191;0,038511;3,042632812E-11;100,445
300;0,802306;3,917887;0,039068;4,975753143E-11;100,283333
400;0,802624;3,864172;0,038561;-4,974687329E-11;100,21
500;0,801267;3,827036;0,038186;-3,0219116098E-10;100,22
600;0,802113;3,781617;0,037733;-2,4439117396E-10;100,22
700;0,801826;3,831251;0,038217;-3,6141489801E-10;100,25
800;0,800695;3,815463;0,038044;-1,3367129625E-10;100,29125
900;0,799688;3,810898;0,037976;3,3320057824E-10;100,35
1000;0,799197;3,874653;0,038652;2,389941578E-10;100,245
1100;0,799253;3,881023;0,038702;-1,0607426049E-10;100,279091
1200;0,797745;3,866298;0,038573;3,0441738019E-10;100,234167
1300;0,798549;3,890334;0,038832;7,0260686158E-10;100,184615
1400;0,797824;3,857977;0,038527;1,6933832114E-10;100,136429
1500;0,797233;3,857866;0,038536;2,7743896069E-10;100,11
1600;0,797312;3,830967;0,038295;-1,3264722654E-10;100,0375
1700;0,797704;3,84039;0,038383;8,847989008E-11;100,055294
1800;0,797898;3,842453;0,038396;6,168310307E-11;100,073889
1900;0,798333;3,841507;0,038406;7,2039529897E-10;100,023684
2000;0,79779;3,838506;0,038397;9,8284180794E-10;99,968
2100;0,798173;3,845406;0,038421;1,42368028477E-09;100,084762
2200;0,79852;3,842681;0,038376;9,6954000384E-10;100,132273
2300;0,799107;3,873343;0,03866;1,20836940454E-09;100,18913
2400;0,79941;3,880213;0,038744;1,56881618807E-09;100,15
2500;0,799597;3,880887;0,038741;3,9586200984E-10;100,1748
2600;0,799686;3,868407;0,038631;4,9399195845E-10;100,137308
2700;0,799396;3,855278;0,038519;7,1410743985E-10;100,088519
2800;0,799638;3,867597;0,038639;3,05059000283E-09;100,095
2900;0,799513;3,87233;0,038679;2,78928657949E-09;100,115517
3000;0,799649;3,872265;0,038673;2,55860443943E-09;100,129
3100;0,799688;3,871429;0,038694;3,66451713418E-09;100,052581
3200;0,799649;3,868332;0,038664;4,91842211403E-09;100,050313
3300;0,799454;3,879442;0,03877;3,4465577059E-09;100,062121
3400;0,799637;3,882297;0,038787;4,69678473891E-09;100,093235
3500;0,799974;3,890983;0,03887;6,2997069783E-09;100,102857
3600;0,80077;3,912182;0,039087;5,20244380908E-09;100,088333
3700;0,800539;3,908738;0,039065;8,0933793001E-10;100,056216
3800;0,800313;3,904233;0,039028;-7,2973405096E-10;100,036053
3900;0,800485;3,905517;0,039034;-1,19747234351E-09;100,054615
4000;0,800335;3,896946;0,038952;-2,50027198945E-09;100,044
4100;0,800526;3,900477;0,038981;-3,86433862687E-09;100,061463
4200;0,800736;3,906609;0,03903;-3,67149288749E-09;100,091905
4300;0,800757;3,902859;0,038985;-3,02537461749E-09;100,111163
4400;0,800631;3,895101;0,038913;-4,45976189312E-09;100,097955
4500;0,800373;3,892209;0,038886;-3,17982928877E-09;100,092222
4600;0,800095;3,8811;0,038781;-2,43733655481E-09;100,076087
4700;0,800313;3,885226;0,038816;-1,41840983403E-09;100,094681
4800;0,800388;3,884933;0,038813;6,902096672E-10;100,093125
4900;0,799837;3,871917;0,038702;-2,411626454E-11;100,045306
5000;0,799803;3,87169;0,038709;-2,8033797506E-10;100,0198
5100;0,799509;3,873258;0,038734;2,21877227702E-09;99,996667
5200;0,799505;3,870265;0,038706;2,42579556442E-09;99,991154
5300;0,799426;3,866701;0,038671;3,97189037216E-09;99,989623
5400;0,79943;3,868688;0,038698;8,2478379682E-10;99,971111
5500;0,799774;3,874407;0,038748;-3,5740344018E-10;99,989455
5600;0,799778;3,865897;0,038663;-1,20253274005E-09;99,989286
5700;0,79999;3,873095;0,038727;-3,35159588971E-09;100,009649
5800;0,799977;3,883294;0,03883;-4,0869592155E-09;100,007069
5900;0,799967;3,888381;0,038875;-3,88262888507E-09;100,023559
6000;0,799933;3,889439;0,038884;-4,22597201677E-09;100,027
6100;0,799978;3,892056;0,038917;-3,61586272035E-09;100,01
6200;0,79979;3,88954;0,038896;-2,5086905886E-09;99,998548
6300;0,799968;3,888817;0,038883;-2,90142887494E-09;100,013016
6400;0,799916;3,887166;0,038871;-2,64987054521E-09;100,000469
6500;0,800285;3,897405;0,038959;-2,6443149892E-09;100,038923
6600;0,800267;3,897385;0,038962;-3,38455619087E-09;100,031061
6700;0,800304;3,900942;0,038992;-4,04228073236E-09;100,043433
6800;0,800328;3,895996;0,038949;-8,00602961704E-09;100,028088
6900;0,80009;3,892232;0,038916;-7,19091008961E-09;100,016377
7000;0,800042;3,890967;0,0389;-1,198384191881E-08;100,025
7100;0,799954;3,890487;0,0389;-1,192051612975E-08;100,012535
7200;0,800143;3,895279;0,038942;-1,483633527144E-08;100,028611
7300;0,800043;3,89825;0,038978;-1,39514839681E-08;100,012329
7400;0,79993;3,894396;0,038945;-1,605808996885E-08;99,997162
7500;0,800046;3,902185;0,039023;-1,52897050576E-08;99,9972
7600;0,800093;3,904541;0,039047;-1,991706932714E-08;99,996316
7700;0,800351;3,909357;0,039086;-1,96545886233E-08;100,019221
7800;0,800311;3,907049;0,039062;-2,0818320845E-08;100,020513
7900;0,800548;3,909438;0,039081;-2,207681548683E-08;100,033418
8000;0,800605;3,910859;0,039091;-2,077811300794E-08;100,045125
8100;0,800481;3,909436;0,03908;-1,915284508769E-08;100,037284
8200;0,800201;3,903296;0,03902;-2,012321065337E-08;100,033049
8300;0,800321;3,90813;0,039065;-1,74352927651E-08;100,040964
8400;0,800537;3,92093;0,039192;-1,935140891973E-08;100,044167
8500;0,800545;3,922276;0,039203;-2,000305476813E-08;100,051294
8600;0,800608;3,920704;0,039182;-2,315939040543E-08;100,06314
8700;0,800707;3,917981;0,039157;-2,489647021875E-08;100,058621
8800;0,800606;3,916838;0,039148;-2,462986481433E-08;100,052045
8900;0,80057;3,914117;0,039121;-2,384697683766E-08;100,052697
9000;0,800585;3,914115;0,039122;-2,3812246841E-08;100,048111
9100;0,800424;3,911915;0,039103;-2,357643369422E-08;100,042418
9200;0,800353;3,910247;0,039087;-2,430423018396E-08;100,038587
9300;0,800411;3,912763;0,039111;-2,809683286031E-08;100,041828
9400;0,800442;3,916209;0,03915;-2,792478692726E-08;100,030957
9500;0,800439;3,914395;0,039133;-2,68399178438E-08;100,029053
9600;0,800539;3,922242;0,039206;-2,914795693698E-08;100,041771
9700;0,800532;3,919629;0,039176;-3,0286800623E-08;100,050619
9800;0,800523;3,919301;0,039172;-2,941134491508E-08;100,05398
9900;0,800617;3,920151;0,039175;-3,348574972861E-08;100,06798
10000;0,800612;3,919898;0,039174;-2,777483665284E-08;100,0629
10100;0,800523;3,917623;0,039152;-2,526218123577E-08;100,061782
10200;0,800427;3,914238;0,039117;-2,315782232643E-08;100,064902
10300;0,800468;3,912916;0,039101;-2,144938227033E-08;100,071262
10400;0,800334;3,910982;0,039082;-2,023671497042E-08;100,071731
10500;0,80054;3,921265;0,03918;-2,623099115695E-08;100,082857
10600;0,800386;3,915927;0,039137;-3,624071887032E-08;100,056792
10700;0,800457;3,918242;0,039157;-3,410360571721E-08;100,06486
10800;0,800343;3,917474;0,03915;-3,436224327302E-08;100,063611
10900;0,800424;3,916344;0,039138;-3,508166068755E-08;100,065688
11000;0,800564;3,918782;0,039158;-3,336284226663E-08;100,076273
11100;0,80059;3,91868;0,039154;-3,718211827319E-08;100,084865
11200;0,8005;3,919286;0,039167;-4,10203289114E-08;100,065536
11300;0,800368;3,916508;0,039141;-3,729355402271E-08;100,062566
11400;0,800341;3,915254;0,039122;-3,573386164746E-08;100,077544
11500;0,800109;3,912051;0,039096;-3,659174119264E-08;100,063652
11600;0,799944;3,907406;0,039051;-3,397430781149E-08;100,058362
11700;0,799916;3,907457;0,039055;-3,106118606766E-08;100,050513
11800;0,799763;3,902247;0,039009;-2,974226953611E-08;100,034237
11900;0,799851;3,901166;0,038994;-3,280133764605E-08;100,046134
12000;0,799856;3,898811;0,038971;-3,333739284628E-08;100,044167
12100;0,799821;3,896708;0,038953;-3,424663086449E-08;100,036198
12200;0,799874;3,902875;0,03901;-3,447643459609E-08;100,047951
12300;0,799899;3,901146;0,038993;-2,481883321082E-08;100,046098
12400;0,799812;3,897665;0,038961;-2,683006439241E-08;100,041129
12500;0,799756;3,894969;0,038933;-2,660042852654E-08;100,04328
12600;0,799909;3,900269;0,038981;-3,033659989882E-08;100,054603
12700;0,800051;3,905778;0,039031;-3,33202625491E-08;100,068661
12800;0,799962;3,907398;0,039052;-3,241891954886E-08;100,056797
12900;0,79995;3,9086;0,039064;-3,456977681893E-08;100,056202
13000;0,800101;3,909384;0,039068;-3,390576797102E-08;100,065077
13100;0,800153;3,911925;0,039094;-3,311466256761E-08;100,065191
13200;0,800208;3,913282;0,039107;-2,752057293165E-08;100,066515
13300;0,800215;3,913744;0,039113;-2,937710030793E-08;100,062556
13400;0,800241;3,914322;0,039118;-1,806998550791E-08;100,064179
13500;0,800259;3,920928;0,039184;-1,162096818774E-08;100,06563
13600;0,800292;3,920203;0,039176;-8,28229351768E-09;100,067132
13700;0,8004;3,91953;0,039164;-1,054163378811E-08;100,079854
13800;0,80044;3,921836;0,039187;-1,154860962416E-08;100,080507
13900;0,800539;3,922464;0,039192;-1,359602519457E-08;100,083309
14000;0,800442;3,918319;0,039154;-1,848819719541E-08;100,075071
14100;0,80051;3,91634;0,039132;-1,198316335049E-08;100,079504
14200;0,800432;3,915996;0,039134;-1,158821794078E-08;100,067606
14300;0,800372;3,914605;0,039124;-1,340865463106E-08;100,056993
14400;0,800411;3,915211;0,03913;-1,017908735079E-08;100,057639
14500;0,800491;3,916944;0,039149;-1,587032016914E-08;100,051034
14600;0,800353;3,914176;0,039123;-1,100679103416E-08;100,048904
14700;0,800399;3,915012;0,039129;-2,013864408568E-08;100,054014
14800;0,800447;3,920441;0,039182;-1,519698500374E-08;100,056284
14900;0,80046;3,91847;0,039164;-2,618222705308E-08;100,051611
15000;0,800445;3,917785;0,039159;-2,661024511852E-08;100,049
15100;0,800518;3,918898;0,039169;-2,081772310092E-08;100,051325
15200;0,80043;3,915207;0,039133;-2,547529343033E-08;100,047829
15300;0,800365;3,913677;0,03912;-1,748431621706E-08;100,042288
15400;0,800372;3,913137;0,039113;-1,43523481988E-08;100,047922
15500;0,800319;3,910029;0,039081;-6,17284978688E-09;100,04871
15600;0,800254;3,907902;0,039062;-3,6173712914E-09;100,043077
15700;0,800285;3,907744;0,039061;-8,3638327375E-09;100,043121
15800;0,800288;3,910642;0,039087;-4,47859971331E-09;100,04981
15900;0,800342;3,912886;0,039108;-1,126243454053E-08;100,054591
16000;0,800336;3,911103;0,039091;-1,636869706445E-08;100,05225
16100;0,800295;3,910356;0,039084;-2,334746573851E-08;100,04882
16200;0,80025;3,909422;0,039078;-1,306080887886E-08;100,042469
16300;0,800253;3,908733;0,039068;-8,46267145249E-09;100,049018
16400;0,800287;3,910039;0,03908;-1,222978607274E-08;100,052256
16500;0,800396;3,912049;0,039095;-1,125519277778E-08;100,065455
16600;0,800316;3,908445;0,039061;-3,72537467541E-09;100,060181
