Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
100;0,667512;37,623828;0,240316;0,00000000000390572644;156,560000;18,749179;0,329511;0,00000000000350029727
200;0,832853;900,129110;4,510569;0,00000000002345312833;199,560000;570,525956;5,694724;-0,00000000000501698683
300;0,876055;1747,251807;9,489229;0,00000000000738553663;184,130000;881,009487;10,404395;-0,00000000001350164425
400;0,874095;1689,554908;8,697166;0,00000000014180601138;194,265000;902,511937;9,564054;-0,00000000000596589445
500;0,899268;3227,479478;15,673767;0,00000000021407542405;205,916000;1878,845750;17,741027;-0,00000000011952749901
600;0,916061;4923,649110;23,852385;-0,00000000010799316996;206,421667;2707,286662;25,518372;-0,00000000006067657488
700;0,928049;6345,325981;31,060167;-0,00000000028317126421;204,291429;3466,484532;33,248461;0,00000000012512146874
800;0,937043;7176,663305;36,070885;-0,00000000022309576408;198,960000;3741,607587;37,856154;0,00000000038456260398
900;0,927695;6710,333800;35,059419;0,00000000091480867326;191,398889;3364,898529;36,858546;0,00000000059098326233
1000;0,926244;6044,161204;31,578360;0,00000000208932160461;191,402000;3030,846455;33,222766;0,00000000095743879491
1100;0,932952;5777,853931;29,518552;0,00000000208541184321;195,736364;2917,705408;30,508907;0,00000000083524653860
1200;0,937092;5616,022017;29,151929;0,00000000053418114376;192,646667;2819,192104;30,410903;0,00000000081240436600
1300;0,905282;5184,129346;27,528187;-0,00000000015225909422;188,320769;2602,379486;29,412832;0,00000000079424200550
1400;0,912046;4911,337212;25,784585;-0,00000000053112492182;190,475714;2470,457093;27,223311;0,00000000092780227945
1500;0,913521;4729,399947;24,961295;-0,00000000190216464802;189,469333;2374,387084;26,506759;0,00000000067452798902
1600;0,889857;4433,872304;23,802991;-0,00000000165693769816;186,273750;2226,012176;25,770927;0,00000000066051453196
1700;0,883830;4178,782319;22,510568;0,00000000004613642801;185,636471;2097,950711;24,506749;0,00000000064028715663
1800;0,890286;4001,031582;21,382741;0,00000000084247298027;187,115000;2010,221015;23,072985;0,00000000101891228788
